DataHora,Carga,Temperatura,seno_dia_semana,cosseno_dia_semana,seno_mes,cosseno_mes
2024-12-29 00:00:00,0.4600049097743537,0.04085046156727423,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 01:00:00,0.40793622586288025,-0.023372992688368344,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 02:00:00,0.34048011911318876,-0.042628702077185054,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 03:00:00,0.2909137329718534,-0.07491033252314294,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 04:00:00,0.23484691003727898,-0.07491033252314294,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 05:00:00,0.18301639027726146,-0.09416604191196021,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 06:00:00,0.019357430341407245,-0.04727272610625277,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 07:00:00,-0.06259224288802445,0.05331003823062641,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 08:00:00,-0.0884450911669129,0.1390545794502409,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 09:00:00,-0.15809153027995604,0.2054301424022804,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 10:00:00,-0.19770752558808524,0.29117468362189514,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 11:00:00,-0.18678493979914923,0.33183821109592593,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 12:00:00,-0.16769810171411237,0.37012309211604455,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 13:00:00,-0.16104682145169713,0.39583512759405326,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 14:00:00,-0.17844512015034197,0.3893788015048618,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 15:00:00,-0.15558710273707954,0.38099690447678825,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 16:00:00,-0.10218721826521271,0.3532460291811401,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 17:00:00,-0.008678712790914256,0.26750148796152606,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 18:00:00,0.10275451564370397,0.14120668814663784,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 19:00:00,0.33239466840841336,0.05772752450217866,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 20:00:00,0.3821820879204816,0.038471815113361396,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 21:00:00,0.3791290124003981,0.038471815113361396,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 22:00:00,0.4123880064792871,-0.006495929753463914,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 23:00:00,0.4261902302083389,-0.006495929753463914,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-30 00:00:00,0.38338781708693137,-0.07728897897705578,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 01:00:00,0.3163577574837595,-0.11342175130077692,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 02:00:00,0.24453228306276076,-0.18614037146325035,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 03:00:00,0.1897952717063589,-0.19690091494523665,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 04:00:00,0.1513611150704821,-0.1776452055564195,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 05:00:00,0.11427584536860946,-0.24152885317578876,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 06:00:00,-0.008493052167403592,-0.21377797788014108,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 07:00:00,-0.08087180450634535,-0.1350561071435069,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 08:00:00,0.01117169512029137,-0.006269391995948559,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 09:00:00,0.10080531059387954,0.2353331263943259,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 10:00:00,0.10127511068035355,0.25889305317593725,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 11:00:00,0.138361167472151,0.31892555891754326,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 12:00:00,0.14710332897091027,0.38960533926237706,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 13:00:00,0.12880524758964573,0.4492980383677099,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 14:00:00,0.2073016332217803,0.42811675804001115,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 15:00:00,0.2897103187757719,0.41327853492274613,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 16:00:00,0.3295195678102185,0.3725017385699574,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 17:00:00,0.3338981953629978,0.2931002545607766,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 18:00:00,0.25680060742600075,0.192744027981413,0.0,1.0,-2.4492935982947064e-16,1.0
