DataHora,Carga,Temperatura,seno_dia_semana,cosseno_dia_semana,seno_mes,cosseno_mes
2023-12-30 00:00:00,0.18604764568112908,0.050804908104139734,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 01:00:00,0.111863478063851,0.0232754778322537,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 02:00:00,0.03283666970153254,0.0029561364410999325,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 03:00:00,-0.032982355453850976,-0.004843868802601126,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 04:00:00,-0.07806845955206376,-0.013102697884166958,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 05:00:00,-0.10548198731361358,-0.08382711517789265,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 06:00:00,-0.1646469428395141,-0.02378673868016079,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 07:00:00,-0.1871739589440088,0.07158307333315839,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 08:00:00,-0.15121510691615847,0.08987048058519664,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 09:00:00,-0.09936125496706139,0.1792100364437217,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 10:00:00,-0.057489719543621365,0.2623226973597961,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 11:00:00,-0.051272642812786984,0.32931097768805184,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 12:00:00,-0.04170320627374724,0.32020004719330886,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 13:00:00,-0.04679821738990686,0.3124000419496078,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 14:00:00,-0.04826208996845849,0.2747109409821449,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 15:00:00,-0.06248351649700101,0.2918840617707974,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 16:00:00,-0.06420100370725734,0.2456739466715605,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 17:00:00,-0.06457820773950773,0.2391848666789016,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 18:00:00,-0.07082216478953718,0.15757976980152555,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 19:00:00,-0.028718038447729355,0.06942004666893875,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 20:00:00,0.06059798974942954,0.01934270207912725,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 21:00:00,0.06479342191521908,0.015475472588552641,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 22:00:00,0.01936355865117667,0.024455310558191723,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-30 23:00:00,-0.0319671246273584,0.0029561364410999325,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-31 00:00:00,0.171997755491202,-0.04882541097506643,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 01:00:00,0.0938412001444251,-0.11358511837655028,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 02:00:00,0.02572031435909028,-0.13469101491832947,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 03:00:00,-0.04173817428674664,-0.16497338821740415,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 04:00:00,-0.08960136074740299,-0.17788600194016957,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 05:00:00,-0.12480162142085371,-0.18444062819538043,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 06:00:00,-0.2009184904240997,-0.18444062819538043,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 07:00:00,-0.2222435508032391,-0.14812799874151195,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 08:00:00,-0.18258821510428624,-0.06501533782543734,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 09:00:00,-0.13330925317252895,-0.011398495057812097,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 10:00:00,-0.0871833762804175,0.01527883380089623,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 11:00:00,-0.04544873097412394,0.07794106080071317,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 12:00:00,-0.00902390335709613,0.09013266563540534,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 13:00:00,0.014400868212428142,0.013902362287302239,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 14:00:00,0.015035033508302265,0.04929734406544095,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31 15:00:00,0.013757220792783631,0.10396292703390042,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
