DataHora,Carga,Temperatura,seno_dia_semana,cosseno_dia_semana,seno_mes,cosseno_mes
2024-12-29 00:00:00,-0.07713048014570056,-0.2096103930153902,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 01:00:00,-0.16486861429860766,-0.21616501927060117,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 02:00:00,-0.25000813167198,-0.25247764872446965,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 03:00:00,-0.3106782134506638,-0.26021210770561864,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 04:00:00,-0.3478981664872064,-0.26021210770561864,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 05:00:00,-0.36811306753830564,-0.27535329435515576,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 06:00:00,-0.4161043913864747,-0.16071288115151672,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 07:00:00,-0.44273890475781175,-0.08376156891534048,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 08:00:00,-0.4259156649871967,-0.01880522272620022,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 09:00:00,-0.40327190291537496,0.08443014079337208,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 10:00:00,-0.3683203656423628,0.1349007629584964,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 11:00:00,-0.30074736211714537,0.23813612647806814,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 12:00:00,-0.230691071896985,0.2458050391966653,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 13:00:00,-0.20709680200187275,0.2125075378201935,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 14:00:00,-0.22982609626254613,0.2666487506882358,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 15:00:00,-0.23815178708278073,0.22338821740384351,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 16:00:00,-0.22805731548230146,0.18569911643638082,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 17:00:00,-0.18050607373147576,0.1609881754542355,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 18:00:00,-0.11433769023762896,0.01219815946094771,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 19:00:00,-0.05189631770476122,-0.096084266275137,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 20:00:00,0.02016587074820997,-0.1135195721139981,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 21:00:00,0.014336059398151413,-0.1287263050260875,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 22:00:00,-0.0245668633437911,-0.14485068561390624,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-29 23:00:00,-0.08053885313301123,-0.14485068561390624,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2024-12-30 00:00:00,-0.1640599307292674,-0.2935096090820901,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 01:00:00,-0.25592463366040064,-0.3152054219868383,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 02:00:00,-0.32604914368506266,-0.32897013712278134,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 03:00:00,-0.3757039152191044,-0.3355247633779921,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 04:00:00,-0.40229041729406523,-0.3787197503998323,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 05:00:00,-0.4051301846466834,-0.4004155633045804,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 06:00:00,-0.4115548598203367,-0.21918014734799818,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 07:00:00,-0.3702844095234179,-0.15494481004693106,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 08:00:00,-0.28498961701011305,-0.08834980729398811,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 09:00:00,-0.20522219471357517,0.014033454812406587,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 10:00:00,-0.1521626328045983,0.08344694685509024,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 11:00:00,-0.0959812639927562,0.13306546760703686,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 12:00:00,-0.050659093627644314,0.19782517500852093,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 13:00:00,-0.03543391350386971,0.1765881859416376,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 14:00:00,-0.023686334452036717,0.18805878188825687,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 15:00:00,-0.001875325956049334,0.1794722214939306,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 16:00:00,-5.971378170777086e-05,0.1940890380430509,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 17:00:00,0.009523280907157039,0.21565375842269496,0.0,1.0,-2.4492935982947064e-16,1.0
2024-12-30 18:00:00,-0.013431696480358801,0.11995621509661536,0.0,1.0,-2.4492935982947064e-16,1.0
